,point,date,opt1,opt2,diff_opt1,diff_opt2
0,1,2018-8-1 15:1:20,92.0,79.0,0.0,0.0
1,1,2018-8-1 15:1:20,92.0,68.0,0.0,-11.0
2,1,2018-8-1 15:1:20,85.0,68.0,-7.0,0.0
3,1,2018-8-1 15:1:20,95.0,85.0,10.0,17.0
4,1,2018-8-1 15:1:20,80.0,77.0,-15.0,-8.0
5,1,2018-8-1 15:1:20,84.0,60.0,4.0,-17.0
6,1,2018-8-1 15:1:20,74.0,86.0,-10.0,26.0
7,1,2018-8-1 15:1:20,70.0,68.0,-4.0,-18.0
8,1,2018-8-1 15:1:20,79.0,85.0,9.0,17.0
9,1,2018-8-1 15:1:20,95.0,58.0,16.0,-27.0
10,1,2018-8-1 15:1:20,84.0,71.0,-11.0,13.0
11,1,2018-8-1 15:1:20,69.0,83.0,-15.0,12.0
12,1,2018-8-1 15:1:20,73.0,67.0,4.0,-16.0
13,1,2018-8-1 15:1:20,82.0,67.0,9.0,0.0
14,1,2018-8-1 15:1:20,75.0,74.0,-7.0,7.0
15,1,2018-8-1 15:1:20,76.0,56.0,1.0,-18.0
16,1,2018-8-1 15:1:20,71.0,89.0,-5.0,33.0
17,1,2018-8-1 15:1:20,80.0,89.0,9.0,0.0
18,1,2018-8-1 15:1:20,69.0,54.0,-11.0,-35.0
19,1,2018-8-1 15:1:20,78.0,61.0,9.0,7.0
