,point,date,opt1,opt2,diff_opt1,diff_opt2
0,2.7000000000000015,2018-8-1 23:31:10,77.0,89.0,0.0,0.0
1,2.7000000000000015,2018-8-1 23:31:10,83.0,65.0,6.0,-24.0
2,2.7000000000000015,2018-8-1 23:31:10,92.0,76.0,9.0,11.0
3,2.7000000000000015,2018-8-1 23:31:10,94.0,79.0,2.0,3.0
4,2.7000000000000015,2018-8-1 23:31:10,72.0,87.0,-22.0,8.0
5,2.7000000000000015,2018-8-1 23:31:10,84.0,75.0,12.0,-12.0
6,2.7000000000000015,2018-8-1 23:31:10,72.0,72.0,-12.0,-3.0
7,2.7000000000000015,2018-8-1 23:31:10,83.0,77.0,11.0,5.0
8,2.7000000000000015,2018-8-1 23:31:10,92.0,67.0,9.0,-10.0
9,2.7000000000000015,2018-8-1 23:31:10,93.0,87.0,1.0,20.0
10,2.7000000000000015,2018-8-1 23:31:10,96.0,72.0,3.0,-15.0
11,2.7000000000000015,2018-8-1 23:31:10,69.0,71.0,-27.0,-1.0
12,2.7000000000000015,2018-8-1 23:31:10,76.0,83.0,7.0,12.0
13,2.7000000000000015,2018-8-1 23:31:10,92.0,76.0,16.0,-7.0
14,2.7000000000000015,2018-8-1 23:31:10,80.0,69.0,-12.0,-7.0
15,2.7000000000000015,2018-8-1 23:31:10,99.0,62.0,19.0,-7.0
16,2.7000000000000015,2018-8-1 23:31:10,96.0,80.0,-3.0,18.0
17,2.7000000000000015,2018-8-1 23:31:10,76.0,62.0,-20.0,-18.0
18,2.7000000000000015,2018-8-1 23:31:10,89.0,53.0,13.0,-9.0
19,2.7000000000000015,2018-8-1 23:31:10,75.0,77.0,-14.0,24.0
