('point', 'opt1', 'opt2', 'diff_op1', 'diff_opt2')
['1.1', 11.0, 22.0, 0.0, 0.0]
['1.20', 11.0, 25.0, 0.0, 3.0]
['1.1', 16.0, 27.0, 5.0, 2.0]
['2.2', 17.0, 26.0, 1.0, -1.0]
['2.3', 18.0, 25.0, 1.0, -1.0]
['2.2', 19.0, 24.0, 1.0, -1.0]
['2.20', 32.0, 63.0, 13.0, 39.0]
['2.20', 39.0, 54.0, 7.0, -9.0]
['1.10', 11.0, 12.0, -28.0, -42.0]
['1.10', 12.0, 11.0, 1.0, -1.0]
['1.10', 11.0, 15.0, -1.0, 4.0]
['1.10', 12.0, 16.0, 1.0, 1.0]
['1.2', 14.0, 20.0, 2.0, 4.0]
['1.2', 13.0, 29.0, -1.0, 9.0]
['1.20', 18.0, 21.0, 5.0, -8.0]
['1.20', 16.0, 22.0, -2.0, 1.0]
['2.20', 12.0, 23.0, -4.0, 1.0]
['2.20', 19.0, 24.0, 7.0, 1.0]
['2.2', 12.0, 23.0, -7.0, -1.0]
['2.3', 11.0, 22.0, -1.0, -1.0]
['2.3', 10.0, 54.0, -1.0, 32.0]
['1.1', 12.0, 21.0, 2.0, -33.0]
